#Mutationas at cloning 5
#SizeOfPopu PopuSizeAge8 badGeneProb1 badGeneProb6 badGeneProb12 badGeneProb20 deatheStat
899739 0 0 0 0 0 1
1713113 0 0.110334 0.110267 0.110178 0.109848 4.24916
1908423 53867 0.189497 0.19013 0.192538 0.193274 5.10982
1750437 59375 0.234857 0.23738 0.254836 0.263409 5.55263
1577700 61472 0.25914 0.263061 0.301332 0.324114 5.81109
1465169 61586 0.271979 0.274349 0.332923 0.370715 5.92049
1391383 60278 0.278123 0.280333 0.35581 0.405622 5.99632
1346469 59500 0.281592 0.283588 0.373783 0.431125 6.03804
1317364 59140 0.283165 0.286143 0.386004 0.45112 6.06598
1298949 58650 0.284244 0.28676 0.395525 0.465637 6.09478
1288745 58491 0.284986 0.286795 0.400512 0.47461 6.1212
1280882 58022 0.284747 0.28661 0.405568 0.481624 6.1351
1276628 58155 0.285198 0.287548 0.408696 0.486698 6.12906
1272592 58170 0.284579 0.287937 0.411837 0.490181 6.15477
1271593 58080 0.28502 0.287323 0.413198 0.49311 6.12538
1271792 57741 0.284867 0.288183 0.413804 0.494445 6.14432
1268994 57798 0.284986 0.289179 0.415275 0.496035 6.15306
1267623 57746 0.285489 0.289965 0.416968 0.497749 6.15647
1267616 57591 0.286321 0.29015 0.417409 0.498853 6.15113
1266145 57870 0.285854 0.289457 0.418181 0.500878 6.15158
1266194 57570 0.286175 0.289509 0.41845 0.501529 6.148
1266034 57943 0.286434 0.289308 0.419051 0.500995 6.15887
1265076 57793 0.286775 0.289731 0.42004 0.500304 6.16432
1265952 57832 0.285449 0.288501 0.41997 0.500727 6.15181
1265731 58056 0.286077 0.287673 0.420646 0.500263 6.14917
1264609 58178 0.284914 0.287604 0.419878 0.500647 6.14758
1266706 57984 0.285166 0.287639 0.420731 0.501099 6.14963
1266148 58260 0.284946 0.287526 0.420974 0.502471 6.13317
1266595 58160 0.285215 0.287951 0.421189 0.502103 6.13775
1267007 57974 0.285556 0.288107 0.42149 0.501555 6.15405
1267137 57903 0.285721 0.287873 0.421506 0.5011 6.13086
1266924 58149 0.285225 0.28885 0.422098 0.500066 6.13521
1267671 58100 0.286929 0.289607 0.421762 0.49987 6.14244
1267664 57780 0.28586 0.289927 0.419307 0.500378 6.14571
1265802 58184 0.284499 0.289421 0.418565 0.501191 6.14627
1268758 58061 0.284527 0.288593 0.418791 0.502239 6.15418
1268280 57753 0.284914 0.287876 0.419324 0.501795 6.13474
1267308 57992 0.285051 0.28819 0.419308 0.500358 6.1501
1266754 57840 0.285111 0.288077 0.419689 0.500431 6.15735
1266926 58004 0.284982 0.288067 0.418485 0.499787 6.1575
1265945 58189 0.283765 0.287791 0.417991 0.499828 6.14997
1268288 58146 0.285007 0.288803 0.417383 0.499942 6.14496
1267843 57865 0.28378 0.289265 0.416793 0.499845 6.13762
1268055 57871 0.283773 0.287607 0.417937 0.498888 6.14162
1267870 57549 0.284315 0.287358 0.41797 0.498445 6.13818
1265604 58179 0.284446 0.288164 0.418404 0.498242 6.14795
1264332 58234 0.284836 0.288794 0.41866 0.498748 6.14964
1265589 57909 0.285516 0.288333 0.41828 0.499925 6.15129
1265933 58345 0.285378 0.288123 0.419932 0.499359 6.15455
1265752 58403 0.285159 0.288527 0.419171 0.498896 6.13145
